Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,2,60,0.022450923919677734,0.5867874622344971,234,395,161,309,309,309,0,309,0.75,uniform,False
2,96372106,2,10637297,2,60,2.948185682296753,6.684114933013916,341,596,255,466,478,478,0,478,0.75,uniform,False
3,96372106,2,10637298,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
4,96372106,2,10637299,2,60,0.12366771697998047,3.6783993244171143,435,764,329,611,611,611,0,611,0.75,uniform,False
5,96372106,2,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
6,96372106,2,10637301,2,60,0.9275734424591064,2.5730836391448975,299,525,226,409,413,414,1,413,0.75,uniform,False
7,96372106,2,10637302,2,60,0.013990640640258789,0.5565133094787598,210,375,165,287,287,287,0,287,0.75,uniform,False
8,96372106,2,10637303,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
9,96372106,2,10637304,2,60,0.05189228057861328,4.945740699768066,397,687,290,542,540,542,2,542,0.75,uniform,False
10,96372106,2,10637305,2,60,0.06382918357849121,4.03121018409729,425,755,330,591,591,592,1,591,0.75,uniform,False
11,96372106,2,10637306,2,60,0.00899505615234375,0.22738933563232422,121,207,86,168,168,169,1,168,0.75,uniform,False
12,96372106,2,10637307,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
13,96372106,2,10637308,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
14,96372106,2,10637309,2,60,0.0039882659912109375,0.056847333908081055,74,121,47,98,96,98,2,98,0.75,uniform,False
15,96372106,2,10637310,2,60,0.010967254638671875,0.31615209579467773,147,265,118,221,221,221,0,221,0.75,uniform,False
16,96372106,2,10637311,2,60,0.015975475311279297,0.7340126037597656,217,360,143,296,296,298,2,296,0.75,uniform,False
17,96372106,2,10637312,2,60,0.11170673370361328,6.598370552062988,480,845,365,662,661,663,2,662,0.75,uniform,False
18,96372106,2,10637313,2,60,0.013024568557739258,0.6472680568695068,158,288,130,224,224,224,0,224,0.75,uniform,False
19,96372106,2,10637314,2,60,0.008013248443603516,0.17055249214172363,116,215,99,165,165,165,0,165,0.75,uniform,False
20,96372106,2,10637315,2,60,0.08278656005859375,6.3580474853515625,439,801,362,611,611,614,3,611,0.75,uniform,False
21,96372106,2,10637316,2,60,0.02792525291442871,0.41991138458251953,185,329,144,260,260,260,0,260,0.75,uniform,False
22,96372106,2,10637317,2,60,4.982647180557251,19.12686014175415,455,784,329,624,626,633,7,630,0.75,uniform,False
23,96372106,2,10637318,2,60,0.0860133171081543,5.0066046714782715,397,728,331,567,567,567,0,567,0.75,uniform,False
24,96372106,2,10637319,2,60,0.12321305274963379,6.2422661781311035,432,770,338,604,604,606,2,604,0.75,uniform,False
25,96372106,2,10637320,2,60,0.06883907318115234,3.8885576725006104,386,685,299,535,535,535,0,535,0.75,uniform,False
26,96372106,2,10637321,2,60,158.04990148544312,6.80579137802124,310,544,234,423,419,419,0,419,0.75,uniform,False
27,96372106,2,10637322,2,60,0.03587913513183594,2.5302302837371826,321,543,222,445,445,445,0,445,0.75,uniform,False
28,96372106,2,10637323,2,60,0.0948038101196289,4.760263442993164,451,791,340,638,638,638,0,638,0.75,uniform,False
29,96372106,2,10637324,2,60,0.0718071460723877,7.199761152267456,524,909,385,708,706,709,3,708,0.75,uniform,False
30,96372106,2,10637325,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
31,96372106,2,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
32,96372106,2,10637327,2,60,0.07480120658874512,6.236315727233887,473,843,370,659,659,659,0,659,0.75,uniform,False
33,96372106,2,10637328,2,60,0.058843135833740234,3.1884589195251465,360,628,268,498,498,498,0,498,0.75,uniform,False
34,96372106,2,10637329,2,60,0.12765860557556152,10.863942623138428,470,835,365,657,657,657,0,657,0.75,uniform,False
35,96372106,2,10637330,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
36,96372106,2,10637331,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
