Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,3,10637296,0,60,0.031938791275024414,3.421863079071045,457,457,0,457,457,457,0,457,0.25,uniform,False
2,96372106,3,10637297,0,60,0.08181524276733398,2.077439785003662,401,401,0,401,403,403,0,403,0.25,uniform,False
3,96372106,3,10637298,0,60,0.13164925575256348,6.457749366760254,587,587,0,587,587,587,0,587,0.25,uniform,False
4,96372106,3,10637299,0,60,0.024932146072387695,3.7020633220672607,520,520,0,520,520,520,0,520,0.25,uniform,False
5,96372106,3,10637300,0,60,0.07081055641174316,1.8370270729064941,386,386,0,386,386,386,0,386,0.25,uniform,False
6,96372106,3,10637301,0,60,0.024931669235229492,1.083082675933838,278,278,0,278,278,278,0,278,0.25,uniform,False
7,96372106,3,10637302,0,60,0.054854393005371094,1.9816672801971436,361,361,0,361,361,361,0,361,0.25,uniform,False
8,96372106,3,10637303,0,60,0.11269831657409668,7.447077989578247,690,690,0,690,690,690,0,690,0.25,uniform,False
9,96372106,3,10637304,0,60,0.05186152458190918,5.793478488922119,591,591,0,591,591,591,0,591,0.25,uniform,False
10,96372106,3,10637305,0,60,0.029919147491455078,2.733710527420044,396,396,0,396,396,396,0,396,0.25,uniform,False
11,96372106,3,10637306,0,60,0.06482577323913574,0.7669165134429932,262,262,0,262,262,262,0,262,0.25,uniform,False
12,96372106,3,10637307,0,60,0.04488086700439453,1.3503642082214355,366,366,0,366,366,366,0,366,0.25,uniform,False
13,96372106,3,10637308,0,60,0.023937225341796875,2.533198356628418,450,450,0,450,450,450,0,450,0.25,uniform,False
14,96372106,3,10637309,0,60,0.005983829498291016,0.1085057258605957,127,127,0,127,127,127,0,127,0.25,uniform,False
15,96372106,3,10637310,0,60,0.14261841773986816,5.611000061035156,491,491,0,491,491,491,0,491,0.25,uniform,False
16,96372106,3,10637311,0,60,0.02792525291442871,2.5252647399902344,419,419,0,419,419,419,0,419,0.25,uniform,False
17,96372106,3,10637312,0,60,0.07878828048706055,3.6831414699554443,408,408,0,408,408,408,0,408,0.25,uniform,False
18,96372106,3,10637313,0,60,0.01795196533203125,1.1120049953460693,319,319,0,319,319,319,0,319,0.25,uniform,False
19,96372106,3,10637314,0,60,0.029919147491455078,1.3504126071929932,287,287,0,287,287,287,0,287,0.25,uniform,False
20,96372106,3,10637315,0,60,0.05186033248901367,4.715362310409546,533,533,0,533,533,533,0,533,0.25,uniform,False
21,96372106,3,10637316,0,60,0.008975505828857422,0.19049620628356934,177,177,0,177,177,177,0,177,0.25,uniform,False
22,96372106,3,10637317,0,60,0.06482577323913574,9.92943549156189,739,739,0,739,739,739,0,739,0.25,uniform,False
23,96372106,3,10637318,0,60,0.02393484115600586,2.294854164123535,410,410,0,410,410,410,0,410,0.25,uniform,False
24,96372106,3,10637319,0,60,0.05385541915893555,3.729001998901367,463,463,0,463,463,463,0,463,0.25,uniform,False
25,96372106,3,10637320,0,60,0.05485200881958008,2.8952531814575195,477,477,0,477,477,477,0,477,0.25,uniform,False
26,96372106,3,10637321,0,60,0.03889608383178711,2.2589240074157715,461,461,0,461,461,461,0,461,0.25,uniform,False
27,96372106,3,10637322,0,60,0.08676743507385254,2.2270615100860596,441,441,0,441,441,441,0,441,0.25,uniform,False
28,96372106,3,10637323,0,60,0.05186128616333008,3.5336287021636963,450,450,0,450,450,450,0,450,0.25,uniform,False
29,96372106,3,10637324,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
30,96372106,3,10637325,0,60,0.16655445098876953,12.223315238952637,763,763,0,763,763,763,0,763,0.25,uniform,False
31,96372106,3,10637326,0,60,0.09275269508361816,6.91582727432251,597,597,0,597,597,597,0,597,0.25,uniform,False
32,96372106,3,10637327,0,60,0.04294180870056152,6.276177883148193,527,527,0,527,527,527,0,527,0.25,uniform,False
33,96372106,3,10637328,0,60,0.02409219741821289,2.7974822521209717,397,397,0,397,397,397,0,397,0.25,uniform,False
34,96372106,3,10637329,0,60,0.1276841163635254,7.681486368179321,633,633,0,633,633,633,0,633,0.25,uniform,False
35,96372106,3,10637330,0,60,0.14957547187805176,7.650531053543091,599,599,0,599,599,599,0,599,0.25,uniform,False
36,96372106,3,10637331,0,60,0.04190421104431152,6.844680547714233,578,578,0,578,578,578,0,578,0.25,uniform,False
37,96372106,3,10637332,0,60,0.013999462127685547,0.9624552726745605,314,314,0,314,314,314,0,314,0.25,uniform,False
38,96372106,3,10637333,0,60,0.04390144348144531,9.764899969100952,651,651,0,651,651,651,0,651,0.25,uniform,False
39,96372106,3,10637334,0,60,0.1546032428741455,5.711742639541626,535,535,0,535,535,535,0,535,0.25,uniform,False
40,96372106,3,10637335,0,60,0.06383371353149414,2.637977123260498,432,432,0,432,432,432,0,432,0.25,uniform,False
41,96372106,3,10637336,0,60,0.015935182571411133,0.9843859672546387,351,351,0,351,351,351,0,351,0.25,uniform,False
42,96372106,3,10637337,0,60,0.013962984085083008,1.1828365325927734,290,290,0,290,290,290,0,290,0.25,uniform,False
43,96372106,3,10637338,0,60,0.03490185737609863,1.8280556201934814,316,316,0,316,316,316,0,316,0.25,uniform,False
44,96372106,3,10637339,0,60,0.01798415184020996,0.7769453525543213,306,306,0,306,306,306,0,306,0.25,uniform,False
45,96372106,3,10637340,0,60,0.2762622833251953,8.459356307983398,583,583,0,583,581,581,0,581,0.25,uniform,False
46,96372106,3,10637341,0,60,0.01598215103149414,1.1669108867645264,350,350,0,350,350,350,0,350,0.25,uniform,False
47,96372106,3,10637342,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
48,96372106,3,10637343,0,60,0.02094411849975586,0.796849250793457,292,292,0,292,292,292,0,292,0.25,uniform,False
49,96372106,3,10637344,0,60,0.012985706329345703,0.7379789352416992,266,266,0,266,266,266,0,266,0.25,uniform,False
50,96372106,3,10637345,0,60,0.02991962432861328,3.410928964614868,408,408,0,408,408,408,0,408,0.25,uniform,False
