Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,5,10637296,0,60,0.00997304916381836,0.010970592498779297,169,169,0,169,169,169,0,169,0.75,min,True
2,96372106,5,10637297,0,60,0.006981849670410156,0.010973453521728516,180,180,0,180,180,180,0,180,0.75,min,True
3,96372106,5,10637298,0,60,0.00901341438293457,0.008962392807006836,146,146,0,146,146,146,0,146,0.75,min,True
4,96372106,5,10637299,0,60,0.01196742057800293,0.010970354080200195,155,155,0,155,155,155,0,155,0.75,min,True
5,96372106,5,10637300,0,60,0.05846738815307617,0.007978439331054688,201,201,0,201,201,201,0,201,0.75,min,True
6,96372106,5,10637301,0,60,0.0693209171295166,0.010992288589477539,121,121,0,121,121,121,0,121,0.75,min,True
7,96372106,5,10637302,0,60,0.020944833755493164,0.009973287582397461,135,135,0,135,135,135,0,135,0.75,min,True
8,96372106,5,10637303,0,60,0.007978677749633789,0.00797891616821289,130,130,0,130,130,130,0,130,0.75,min,True
9,96372106,5,10637304,0,60,0.004986286163330078,0.0039825439453125,85,85,0,85,85,85,0,85,0.75,min,True
10,96372106,5,10637305,0,60,0.007981061935424805,0.01161956787109375,149,149,0,149,149,149,0,149,0.75,min,True
