Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,5,10637296,1,60,0.12067627906799316,1.0212419033050537,211,277,66,211,206,206,0,206,0.75,min,True
2,96372106,5,10637297,1,60,0.007978439331054688,0.32712626457214355,238,295,57,238,238,238,0,238,0.75,min,True
3,96372106,5,10637298,1,60,0.026926517486572266,0.40990352630615234,185,239,54,185,179,179,0,179,0.75,min,True
4,96372106,5,10637299,1,60,0.050864219665527344,0.6712043285369873,195,254,59,195,193,193,0,193,0.75,min,True
5,96372106,5,10637300,1,60,6.961375951766968,10.480961322784424,272,324,52,272,230,232,2,230,0.75,min,True
6,96372106,5,10637301,1,60,0.009973764419555664,0.3341073989868164,159,194,35,159,159,159,0,159,0.75,min,True
7,96372106,5,10637302,1,60,0.4168846607208252,1.6027133464813232,182,240,58,182,167,167,0,167,0.75,min,True
8,96372106,5,10637303,1,60,0.0059833526611328125,0.25237178802490234,166,207,41,166,166,166,0,166,0.75,min,True
9,96372106,5,10637304,1,60,0.0029916763305664062,0.0777900218963623,108,134,26,108,108,108,0,108,0.75,min,True
10,96372106,5,10637305,1,60,0.01795172691345215,0.8467347621917725,198,251,53,198,198,198,0,198,0.75,min,True
