Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,1,60,0.0019943714141845703,0.0049779415130615234,14,23,9,20,20,22,2,20,0.75,uniform,False
2,96372106,2,10637297,1,60,0.000978231430053711,0.002993345260620117,12,15,3,14,14,14,0,14,0.75,uniform,False
3,96372106,2,10637298,1,60,0.007005929946899414,0.0059967041015625,20,26,6,24,24,25,1,24,0.75,uniform,False
4,96372106,2,10637299,1,60,0.011941671371459961,0.003988742828369141,16,24,8,23,22,22,0,22,0.75,uniform,False
5,96372106,2,10637300,1,60,0.0009970664978027344,0.003988742828369141,15,18,3,18,18,18,0,18,0.75,uniform,False
6,96372106,2,10637301,1,60,0.000997304916381836,0.0029931068420410156,11,19,8,15,15,15,0,15,0.75,uniform,False
7,96372106,2,10637302,1,60,0.05784463882446289,0.01595616340637207,18,25,7,20,23,23,0,23,0.75,uniform,False
8,96372106,2,10637303,1,60,0.001992940902709961,0.0029921531677246094,13,18,5,18,18,18,0,18,0.75,uniform,False
9,96372106,2,10637304,1,60,0.011996269226074219,0.009974241256713867,14,23,9,18,16,16,0,16,0.75,uniform,False
10,96372106,2,10637305,1,60,0.00396418571472168,0.006943941116333008,16,23,7,20,19,21,2,21,0.75,uniform,False
11,96372106,2,10637306,1,60,0.0009725093841552734,0.0019936561584472656,6,12,6,9,8,10,2,9,0.75,uniform,False
12,96372106,2,10637307,1,60,0.0009963512420654297,0.0040242671966552734,14,25,11,20,20,20,0,20,0.75,uniform,False
13,96372106,2,10637308,1,60,0.0,0.0029931068420410156,11,17,6,14,14,14,0,14,0.75,uniform,False
14,96372106,2,10637309,1,60,0.022938966751098633,0.003989219665527344,18,26,8,18,19,19,0,19,0.75,uniform,False
15,96372106,2,10637310,1,60,0.0009968280792236328,0.003989219665527344,13,23,10,17,17,17,0,17,0.75,uniform,False
16,96372106,2,10637311,1,60,0.0,0.0009984970092773438,9,12,3,10,9,10,1,10,0.75,uniform,False
17,96372106,2,10637312,1,60,0.0020132064819335938,0.0029900074005126953,10,14,4,11,11,11,0,11,0.75,uniform,False
18,96372106,2,10637313,1,60,0.0009918212890625,0.002990245819091797,14,21,7,16,16,16,0,16,0.75,uniform,False
19,96372106,2,10637314,1,60,0.025957107543945312,0.0039865970611572266,15,21,6,18,18,18,0,18,0.75,uniform,False
20,96372106,2,10637315,1,60,0.0009951591491699219,0.001993894577026367,10,17,7,15,14,15,1,15,0.75,uniform,False
21,96372106,2,10637316,1,60,0.0009722709655761719,0.0029926300048828125,16,27,11,24,23,24,1,24,0.75,uniform,False
22,96372106,2,10637317,1,60,0.0,0.002992868423461914,12,16,4,14,13,14,1,14,0.75,uniform,False
23,96372106,2,10637318,1,60,0.0009949207305908203,0.002990245819091797,10,15,5,14,14,14,0,14,0.75,uniform,False
24,96372106,2,10637319,1,60,0.000995635986328125,0.0029888153076171875,16,24,8,20,20,20,0,20,0.75,uniform,False
25,96372106,2,10637320,1,60,0.0,0.0019941329956054688,7,10,3,9,8,9,1,9,0.75,uniform,False
26,96372106,2,10637321,1,60,0.0,0.0019941329956054688,13,15,2,13,13,13,0,13,0.75,uniform,False
27,96372106,2,10637322,1,60,0.0009887218475341797,0.0020210742950439453,8,11,3,10,9,9,0,9,0.75,uniform,False
28,96372106,2,10637323,1,60,0.0009980201721191406,0.007925033569335938,18,24,6,20,20,21,1,20,0.75,uniform,False
29,96372106,2,10637324,1,60,0.0009849071502685547,0.0010006427764892578,5,6,1,6,5,6,1,6,0.75,uniform,False
30,96372106,2,10637325,1,60,0.0009951591491699219,0.0039789676666259766,10,17,7,13,13,13,0,13,0.75,uniform,False
31,96372106,2,10637326,1,60,0.0019974708557128906,0.001994609832763672,12,16,4,15,14,15,1,15,0.75,uniform,False
32,96372106,2,10637327,1,60,0.0020270347595214844,0.003989219665527344,10,16,6,10,11,11,0,11,0.75,uniform,False
33,96372106,2,10637328,1,60,0.0019965171813964844,0.005983829498291016,12,18,6,14,14,14,0,14,0.75,uniform,False
34,96372106,2,10637329,1,60,0.0,0.0029921531677246094,7,13,6,11,11,11,0,11,0.75,uniform,False
35,96372106,2,10637330,1,60,0.0009970664978027344,0.0009975433349609375,7,8,1,7,7,7,0,7,0.75,uniform,False
36,96372106,2,10637331,1,60,0.0009975433349609375,0.0029921531677246094,13,21,8,17,17,17,0,17,0.75,uniform,False
37,96372106,2,10637332,1,60,0.0,0.001995086669921875,9,12,3,10,10,11,1,10,0.75,uniform,False
38,96372106,2,10637333,1,60,0.0010256767272949219,0.0019960403442382812,11,16,5,12,12,13,1,12,0.75,uniform,False
39,96372106,2,10637334,1,60,0.0010235309600830078,0.002991914749145508,11,17,6,14,14,14,0,14,0.75,uniform,False
40,96372106,2,10637335,1,60,0.0,0.0,2,2,0,2,2,2,0,2,0.75,uniform,False
41,96372106,2,10637336,1,60,0.0009992122650146484,0.004986286163330078,17,22,5,19,19,19,0,19,0.75,uniform,False
42,96372106,2,10637337,1,60,0.005014896392822266,0.005984067916870117,14,21,7,19,19,19,0,19,0.75,uniform,False
43,96372106,2,10637338,1,60,0.0059854984283447266,0.0059833526611328125,16,26,10,20,19,19,0,19,0.75,uniform,False
44,96372106,2,10637339,1,60,0.008976459503173828,0.008977413177490234,10,12,2,11,11,11,0,11,0.75,uniform,False
45,96372106,2,10637340,1,60,0.0010004043579101562,0.0019941329956054688,13,20,7,16,16,16,0,16,0.75,uniform,False
46,96372106,2,10637341,1,60,0.001958608627319336,0.0049877166748046875,11,16,5,15,15,15,0,15,0.75,uniform,False
47,96372106,2,10637342,1,60,0.0009961128234863281,0.001994609832763672,9,9,0,9,9,9,0,9,0.75,uniform,False
48,96372106,2,10637343,1,60,0.0009789466857910156,0.002991914749145508,10,15,5,14,14,14,0,14,0.75,uniform,False
49,96372106,2,10637344,1,60,0.0010333061218261719,0.0039882659912109375,13,19,6,17,17,17,0,17,0.75,uniform,False
50,96372106,2,10637345,1,60,0.004014253616333008,0.0049860477447509766,18,27,9,24,24,25,1,24,0.75,uniform,False
