Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
19,96372106,2,10637314,0,60,0.013969659805297852,0.014967918395996094,14,14,0,14,14,14,0,14,0.0,uniform,True
20,96372106,2,10637315,0,60,0.0010311603546142578,0.0010311603546142578,10,10,0,10,10,10,0,10,0.0,uniform,True
21,96372106,2,10637316,0,60,0.0009982585906982422,0.0009982585906982422,14,14,0,14,14,14,0,14,0.0,uniform,True
22,96372106,2,10637317,0,60,0.0010364055633544922,0.0019943714141845703,10,10,0,10,10,10,0,10,0.0,uniform,True
23,96372106,2,10637318,0,60,0.0010001659393310547,0.0019702911376953125,10,10,0,10,10,10,0,10,0.0,uniform,True
24,96372106,2,10637319,0,60,0.0,0.0010325908660888672,14,14,0,14,14,14,0,14,0.0,uniform,True
25,96372106,2,10637320,0,60,0.0,0.0009963512420654297,6,6,0,6,6,6,0,6,0.0,uniform,True
26,96372106,2,10637321,0,60,0.0,0.0009908676147460938,9,9,0,9,9,9,0,9,0.0,uniform,True
27,96372106,2,10637322,0,60,0.0,0.0009984970092773438,7,7,0,7,7,7,0,7,0.0,uniform,True
28,96372106,2,10637323,0,60,0.0009963512420654297,0.002032756805419922,17,17,0,17,17,17,0,17,0.0,uniform,True
29,96372106,2,10637324,0,60,0.0009775161743164062,0.0009775161743164062,4,4,0,4,4,4,0,4,0.0,uniform,True
30,96372106,2,10637325,0,60,0.0009970664978027344,0.001995563507080078,10,10,0,10,10,10,0,10,0.0,uniform,True
31,96372106,2,10637326,0,60,0.0,0.000997304916381836,11,11,0,11,11,11,0,11,0.0,uniform,True
32,96372106,2,10637327,0,60,0.0,0.0009963512420654297,9,9,0,9,9,9,0,9,0.0,uniform,True
33,96372106,2,10637328,0,60,0.001984834671020508,0.001984834671020508,11,11,0,11,11,11,0,11,0.0,uniform,True
34,96372106,2,10637329,0,60,0.0,0.0009958744049072266,7,7,0,7,7,7,0,7,0.0,uniform,True
35,96372106,2,10637330,0,60,0.0,0.000997304916381836,6,6,0,6,6,6,0,6,0.0,uniform,True
36,96372106,2,10637331,0,60,0.0010082721710205078,0.0019931793212890625,12,12,0,12,12,12,0,12,0.0,uniform,True
37,96372106,2,10637332,0,60,0.0,0.0009975433349609375,9,9,0,9,9,9,0,9,0.0,uniform,True
38,96372106,2,10637333,0,60,0.000997304916381836,0.000997304916381836,10,10,0,10,10,10,0,10,0.0,uniform,True
39,96372106,2,10637334,0,60,0.0009970664978027344,0.0019953250885009766,10,10,0,10,10,10,0,10,0.0,uniform,True
40,96372106,2,10637335,0,60,0.000997781753540039,0.000997781753540039,2,2,0,2,2,2,0,2,0.0,uniform,True
41,96372106,2,10637336,0,60,0.0,0.0010418891906738281,15,15,0,15,15,15,0,15,0.0,uniform,True
42,96372106,2,10637337,0,60,0.0009982585906982422,0.0009982585906982422,11,11,0,11,11,11,0,11,0.0,uniform,True
43,96372106,2,10637338,0,60,0.0009579658508300781,0.0009579658508300781,16,16,0,16,16,16,0,16,0.0,uniform,True
44,96372106,2,10637339,0,60,0.009973764419555664,0.010970592498779297,9,9,0,9,9,9,0,9,0.0,uniform,True
45,96372106,2,10637340,0,60,0.0009951591491699219,0.0009951591491699219,12,12,0,12,12,12,0,12,0.0,uniform,True
46,96372106,2,10637341,0,60,0.0,0.0010066032409667969,11,11,0,11,11,11,0,11,0.0,uniform,True
47,96372106,2,10637342,0,60,0.0,0.000997781753540039,6,6,0,6,6,6,0,6,0.0,uniform,True
48,96372106,2,10637343,0,60,0.0,0.000997781753540039,9,9,0,9,9,9,0,9,0.0,uniform,True
49,96372106,2,10637344,0,60,0.0,0.0010342597961425781,13,13,0,13,13,13,0,13,0.0,uniform,True
50,96372106,2,10637345,0,60,0.0009982585906982422,0.001966238021850586,16,16,0,16,16,16,0,16,0.0,uniform,True
