Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,10,10637296,1,60,2.523193120956421,0.12460899353027344,62,81,19,71,68,76,8,71,0.25,uniform,False
2,96372106,10,10637297,1,60,4.924167633056641,0.021857261657714844,69,91,22,81,77,80,3,80,0.25,uniform,False
3,96372106,10,10637298,1,60,1.7818193435668945,0.01994776725769043,70,89,19,79,76,83,7,80,0.25,uniform,False
4,96372106,10,10637299,1,60,239.8146722316742,0.34803247451782227,90,118,28,112,93,105,12,104,0.25,uniform,False
5,96372106,10,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
6,96372106,10,10637301,1,60,1.5029683113098145,0.12166953086853027,54,77,23,67,61,69,8,66,0.25,uniform,False
7,96372106,10,10637302,1,60,1.2142283916473389,0.0777428150177002,107,134,27,118,112,117,5,115,0.25,uniform,False
8,96372106,10,10637303,1,60,0.4600701332092285,0.025952816009521484,56,75,19,66,61,71,10,67,0.25,uniform,False
9,96372106,10,10637304,1,60,0.1188511848449707,0.009976387023925781,46,65,19,57,54,61,7,57,0.25,uniform,False
10,96372106,10,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
11,96372106,10,10637306,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
12,96372106,10,10637307,1,60,248.01333570480347,0.045923709869384766,67,93,26,78,74,83,9,78,0.25,uniform,False
13,96372106,10,10637308,1,60,4.8804402351379395,0.024935007095336914,76,98,22,85,84,90,6,86,0.25,uniform,False
14,96372106,10,10637309,1,60,62.180352210998535,0.025902748107910156,73,96,23,85,79,91,12,85,0.25,uniform,False
15,96372106,10,10637310,1,60,0.2893970012664795,0.0278778076171875,93,119,26,104,100,111,11,104,0.25,uniform,False
16,96372106,10,10637311,1,60,1.4518823623657227,0.02887725830078125,69,88,19,79,74,81,7,79,0.25,uniform,False
17,96372106,10,10637312,1,60,0.6855852603912354,0.11671972274780273,56,70,14,57,58,67,9,59,0.25,uniform,False
18,96372106,10,10637313,1,60,252.8860001564026,0.018949508666992188,77,97,20,91,81,94,13,91,0.25,uniform,False
19,96372106,10,10637314,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
20,96372106,10,10637315,1,60,0.7918128967285156,0.07286691665649414,90,114,24,101,89,98,9,95,0.25,uniform,False
21,96372106,10,10637316,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
22,96372106,10,10637317,1,60,3.0828332901000977,0.01795363426208496,72,94,22,80,78,86,8,80,0.25,uniform,False
23,96372106,10,10637318,1,60,0.8565082550048828,0.00997304916381836,56,78,22,63,59,67,8,62,0.25,uniform,False
24,96372106,10,10637319,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
25,96372106,10,10637320,1,60,0.26085758209228516,0.012015581130981445,59,78,19,68,65,71,6,68,0.25,uniform,False
26,96372106,10,10637321,1,60,13.490365028381348,0.024985551834106445,61,81,20,69,65,75,10,70,0.25,uniform,False
27,96372106,10,10637322,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
28,96372106,10,10637323,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
29,96372106,10,10637324,1,60,1.5131752490997314,0.017987489700317383,56,69,13,63,62,66,4,63,0.25,uniform,False
30,96372106,10,10637325,1,60,87.78494048118591,0.020000457763671875,60,84,24,67,65,73,8,67,0.25,uniform,False
31,96372106,10,10637326,1,60,26.216559648513794,0.019006013870239258,71,92,21,84,78,87,9,84,0.25,uniform,False
32,96372106,10,10637327,1,60,0.21007943153381348,0.04987645149230957,58,79,21,68,61,70,9,65,0.25,uniform,False
33,96372106,10,10637328,1,60,16.4313645362854,0.023995399475097656,65,84,19,76,72,80,8,76,0.25,uniform,False
34,96372106,10,10637329,1,60,4.200083494186401,0.018949270248413086,63,91,28,74,67,85,18,74,0.25,uniform,False
35,96372106,10,10637330,1,60,73.61814618110657,0.10728335380554199,86,112,26,101,91,93,2,91,0.25,uniform,False
36,96372106,10,10637331,1,60,0.8407847881317139,0.014963865280151367,58,75,17,64,60,70,10,64,0.25,uniform,False
37,96372106,10,10637332,1,60,0.4271821975708008,0.009920597076416016,50,68,18,59,51,63,12,58,0.25,uniform,False
38,96372106,10,10637333,1,60,22.497656106948853,0.017985820770263672,66,88,22,73,70,76,6,72,0.25,uniform,False
39,96372106,10,10637334,1,60,1.6984522342681885,0.01102590560913086,68,94,26,80,73,88,15,81,0.25,uniform,False
40,96372106,10,10637335,1,60,0.7823567390441895,0.026950836181640625,59,74,15,68,67,69,2,68,0.25,uniform,False
41,96372106,10,10637336,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
42,96372106,10,10637337,1,60,0.3077089786529541,0.05983996391296387,54,73,19,61,57,62,5,61,0.25,uniform,False
43,96372106,10,10637338,1,60,10.601936340332031,0.018914461135864258,65,90,25,76,71,86,15,76,0.25,uniform,False
44,96372106,10,10637339,1,60,233.7994818687439,0.05090594291687012,76,100,24,88,86,95,9,91,0.25,uniform,False
45,96372106,10,10637340,1,60,21.969084978103638,0.025947093963623047,65,85,20,71,69,76,7,71,0.25,uniform,False
46,96372106,10,10637341,1,60,0.24790668487548828,0.05984139442443848,55,71,16,62,57,67,10,62,0.25,uniform,False
47,96372106,10,10637342,1,60,5.343289613723755,0.12665820121765137,66,90,24,74,72,76,4,73,0.25,uniform,False
48,96372106,10,10637343,1,60,2.9698245525360107,0.04288768768310547,60,79,19,68,64,73,9,68,0.25,uniform,False
49,96372106,10,10637344,1,60,49.62004804611206,0.0388951301574707,67,95,28,81,76,82,6,81,0.25,uniform,False
50,96372106,10,10637345,1,60,117.75965309143066,0.037897586822509766,79,101,22,88,86,95,9,90,0.25,uniform,False
