Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,7,10637296,2,60,0.16628193855285645,0.01501774787902832,49,80,31,61,59,67,8,61,0.25,uniform,True
2,96372106,7,10637297,2,60,141.7778036594391,0.04090285301208496,54,75,21,62,62,68,6,62,0.25,uniform,True
3,96372106,7,10637298,2,60,6.063528060913086,0.04886960983276367,54,81,27,69,67,73,6,69,0.25,uniform,True
4,96372106,7,10637299,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
5,96372106,7,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
6,96372106,7,10637301,2,60,1.1099226474761963,0.06981062889099121,43,69,26,59,52,64,12,59,0.25,uniform,True
7,96372106,7,10637302,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
8,96372106,7,10637303,2,60,0.2417747974395752,0.015956401824951172,46,79,33,64,56,71,15,64,0.25,uniform,True
9,96372106,7,10637304,2,60,0.35604119300842285,0.007979631423950195,48,69,21,58,56,60,4,58,0.25,uniform,True
10,96372106,7,10637305,2,60,196.5377516746521,0.03291153907775879,55,83,28,66,65,74,9,69,0.25,uniform,True
11,96372106,7,10637306,2,60,35.946579933166504,0.06383275985717773,52,85,33,74,63,77,14,75,0.25,uniform,True
12,96372106,7,10637307,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
13,96372106,7,10637308,2,60,60.83904576301575,0.008971929550170898,63,104,41,84,79,85,6,83,0.25,uniform,True
14,96372106,7,10637309,2,60,4.484490156173706,0.3540513515472412,53,77,24,67,65,72,7,67,0.25,uniform,True
15,96372106,7,10637310,2,60,212.71580410003662,0.03186154365539551,66,102,36,80,79,87,8,83,0.25,uniform,True
16,96372106,7,10637311,2,60,0.0573115348815918,0.014958620071411133,55,85,30,69,63,80,17,69,0.25,uniform,True
17,96372106,7,10637312,2,60,8.245815992355347,0.013906478881835938,42,68,26,54,48,62,14,55,0.25,uniform,True
18,96372106,7,10637313,2,60,33.41557264328003,0.025381803512573242,61,95,34,73,64,83,19,70,0.25,uniform,True
19,96372106,7,10637314,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
20,96372106,7,10637315,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
21,96372106,7,10637316,2,60,48.97922730445862,0.013937711715698242,74,108,34,85,79,91,12,85,0.25,uniform,True
22,96372106,7,10637317,2,60,0.9974637031555176,0.02193927764892578,59,88,29,74,71,76,5,74,0.25,uniform,True
23,96372106,7,10637318,2,60,0.16243720054626465,0.007977008819580078,39,67,28,54,51,55,4,53,0.25,uniform,True
24,96372106,7,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
25,96372106,7,10637320,2,60,0.14618468284606934,0.014960050582885742,40,63,23,54,46,60,14,54,0.25,uniform,True
26,96372106,7,10637321,2,60,1.726897954940796,0.009948492050170898,46,74,28,58,47,62,15,57,0.25,uniform,True
27,96372106,7,10637322,2,60,8.258074522018433,0.020943164825439453,57,90,33,73,66,78,12,72,0.25,uniform,True
28,96372106,7,10637323,2,60,2.1026480197906494,0.0404512882232666,57,89,32,75,71,78,7,75,0.25,uniform,True
29,96372106,7,10637324,2,60,13.899589776992798,0.011966943740844727,47,67,20,56,54,58,4,55,0.25,uniform,True
30,96372106,7,10637325,2,60,2.8478667736053467,0.014953136444091797,49,78,29,59,54,62,8,56,0.25,uniform,True
31,96372106,7,10637326,2,60,260.1702575683594,0.12417435646057129,68,100,32,88,82,92,10,90,0.25,uniform,True
32,96372106,7,10637327,2,60,0.03822040557861328,0.008976221084594727,50,80,30,62,54,70,16,61,0.25,uniform,True
33,96372106,7,10637328,2,60,4.7460856437683105,0.024933338165283203,62,97,35,81,70,89,19,81,0.25,uniform,True
34,96372106,7,10637329,2,60,114.40811729431152,0.010970830917358398,57,86,29,70,63,80,17,69,0.25,uniform,True
35,96372106,7,10637330,2,60,1.1813089847564697,0.014959573745727539,54,91,37,74,69,83,14,75,0.25,uniform,True
36,96372106,7,10637331,2,60,1.9661290645599365,0.030916452407836914,42,70,28,57,51,64,13,57,0.25,uniform,True
37,96372106,7,10637332,2,60,1.5765678882598877,0.017952680587768555,43,66,23,52,47,59,12,52,0.25,uniform,True
38,96372106,7,10637333,2,60,14.748851537704468,0.007979154586791992,48,75,27,59,54,67,13,58,0.25,uniform,True
39,96372106,7,10637334,2,60,0.12550997734069824,0.008975028991699219,60,86,26,73,68,82,14,73,0.25,uniform,True
40,96372106,7,10637335,2,60,1.2086424827575684,0.04587697982788086,42,69,27,57,47,62,15,57,0.25,uniform,True
41,96372106,7,10637336,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
42,96372106,7,10637337,2,60,0.20248866081237793,0.004982709884643555,39,58,19,46,42,51,9,46,0.25,uniform,True
43,96372106,7,10637338,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
44,96372106,7,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
45,96372106,7,10637340,2,60,0.6795909404754639,0.012955427169799805,49,76,27,64,54,72,18,64,0.25,uniform,True
46,96372106,7,10637341,2,60,0.10054159164428711,0.010970592498779297,48,77,29,66,59,76,17,66,0.25,uniform,True
47,96372106,7,10637342,2,60,0.8293609619140625,0.019915342330932617,51,86,35,62,56,69,13,61,0.25,uniform,True
48,96372106,7,10637343,2,60,0.04448246955871582,0.010973691940307617,37,58,21,47,42,51,9,47,0.25,uniform,True
49,96372106,7,10637344,2,60,5.2070629596710205,0.011964559555053711,46,73,27,62,56,64,8,61,0.25,uniform,True
50,96372106,7,10637345,2,60,50.53754281997681,0.04987907409667969,66,108,42,87,79,94,15,87,0.25,uniform,True
