Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,7,10637296,2,60,0.16628193855285645,0.16457343101501465,49,80,31,61,61,61,0,61,0.75,uniform,True
2,96372106,7,10637297,2,60,141.7778036594391,0.0907590389251709,54,75,21,62,62,64,2,62,0.75,uniform,True
3,96372106,7,10637298,2,60,6.063528060913086,0.4907186031341553,54,81,27,69,67,68,1,68,0.75,uniform,True
4,96372106,7,10637299,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
5,96372106,7,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
6,96372106,7,10637301,2,60,1.1099226474761963,0.1585543155670166,43,69,26,59,59,61,2,59,0.75,uniform,True
7,96372106,7,10637302,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
8,96372106,7,10637303,2,60,0.2417747974395752,0.05385708808898926,46,79,33,64,62,65,3,62,0.75,uniform,True
9,96372106,7,10637304,2,60,0.35604119300842285,0.052858591079711914,48,69,21,58,58,58,0,58,0.75,uniform,True
10,96372106,7,10637305,2,60,196.5377516746521,1.2087430953979492,55,83,28,66,65,65,0,65,0.75,uniform,True
11,96372106,7,10637306,2,60,35.946579933166504,1.9059593677520752,52,85,33,74,65,72,7,69,0.75,uniform,True
12,96372106,7,10637307,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
13,96372106,7,10637308,2,60,60.83904576301575,0.22596526145935059,63,104,41,84,84,84,0,84,0.75,uniform,True
14,96372106,7,10637309,2,60,4.484490156173706,0.11768674850463867,53,77,24,67,66,66,0,66,0.75,uniform,True
15,96372106,7,10637310,2,60,212.71580410003662,0.06781840324401855,66,102,36,80,81,84,3,82,0.75,uniform,True
16,96372106,7,10637311,2,60,0.0573115348815918,0.03590226173400879,55,85,30,69,66,72,6,67,0.75,uniform,True
17,96372106,7,10637312,2,60,8.245815992355347,0.05080842971801758,42,68,26,54,51,55,4,53,0.75,uniform,True
18,96372106,7,10637313,2,60,33.41557264328003,0.26173996925354004,61,95,34,73,69,73,4,70,0.75,uniform,True
19,96372106,7,10637314,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
20,96372106,7,10637315,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
21,96372106,7,10637316,2,60,48.97922730445862,0.509636640548706,74,108,34,85,87,87,0,87,0.75,uniform,True
22,96372106,7,10637317,2,60,0.9974637031555176,0.0688025951385498,59,88,29,74,73,75,2,75,0.75,uniform,True
23,96372106,7,10637318,2,60,0.16243720054626465,0.016013145446777344,39,67,28,54,53,53,0,53,0.75,uniform,True
24,96372106,7,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
25,96372106,7,10637320,2,60,0.14618468284606934,0.06580018997192383,40,63,23,54,52,55,3,54,0.75,uniform,True
26,96372106,7,10637321,2,60,1.726897954940796,0.31461000442504883,46,74,28,58,56,59,3,59,0.75,uniform,True
27,96372106,7,10637322,2,60,8.258074522018433,0.03695821762084961,57,90,33,73,70,74,4,71,0.75,uniform,True
28,96372106,7,10637323,2,60,2.1026480197906494,0.2787494659423828,57,89,32,75,67,71,4,71,0.75,uniform,True
29,96372106,7,10637324,2,60,13.899589776992798,0.051862239837646484,47,67,20,56,55,55,0,55,0.75,uniform,True
30,96372106,7,10637325,2,60,2.8478667736053467,0.6174101829528809,49,78,29,59,58,60,2,58,0.75,uniform,True
31,96372106,7,10637326,2,60,260.1702575683594,0.47524166107177734,68,100,32,88,89,90,1,90,0.75,uniform,True
32,96372106,7,10637327,2,60,0.03822040557861328,0.035902976989746094,50,80,30,62,59,61,2,60,0.75,uniform,True
33,96372106,7,10637328,2,60,4.7460856437683105,0.30519580841064453,62,97,35,81,80,81,1,81,0.75,uniform,True
34,96372106,7,10637329,2,60,114.40811729431152,0.053855180740356445,57,86,29,70,68,69,1,69,0.75,uniform,True
35,96372106,7,10637330,2,60,1.1813089847564697,0.03091907501220703,54,91,37,74,75,75,0,75,0.75,uniform,True
36,96372106,7,10637331,2,60,1.9661290645599365,0.3187105655670166,42,70,28,57,54,58,4,57,0.75,uniform,True
37,96372106,7,10637332,2,60,1.5765678882598877,0.05884242057800293,43,66,23,52,52,54,2,52,0.75,uniform,True
38,96372106,7,10637333,2,60,14.748851537704468,0.6593177318572998,48,75,27,59,57,60,3,59,0.75,uniform,True
39,96372106,7,10637334,2,60,0.12550997734069824,0.020942211151123047,60,86,26,73,73,74,1,73,0.75,uniform,True
40,96372106,7,10637335,2,60,1.2086424827575684,0.14560842514038086,42,69,27,57,57,57,0,57,0.75,uniform,True
41,96372106,7,10637336,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
42,96372106,7,10637337,2,60,0.20248866081237793,0.02091670036315918,39,58,19,46,46,46,0,46,0.75,uniform,True
43,96372106,7,10637338,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
44,96372106,7,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
45,96372106,7,10637340,2,60,0.6795909404754639,4.800535202026367,49,76,27,64,64,65,1,65,0.75,uniform,True
46,96372106,7,10637341,2,60,0.10054159164428711,0.043909311294555664,48,77,29,66,64,66,2,66,0.75,uniform,True
47,96372106,7,10637342,2,60,0.8293609619140625,0.10864996910095215,51,86,35,62,58,59,1,59,0.75,uniform,True
48,96372106,7,10637343,2,60,0.04448246955871582,0.014960289001464844,37,58,21,47,43,47,4,46,0.75,uniform,True
49,96372106,7,10637344,2,60,5.2070629596710205,0.265331506729126,46,73,27,62,59,61,2,61,0.75,uniform,True
50,96372106,7,10637345,2,60,50.53754281997681,0.18304657936096191,66,108,42,87,83,84,1,84,0.75,uniform,True
