Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,2,10637296,0,60,0.0006427764892578125,0.0005865097045898438,13,13,0,13,13,13,0,13,1.0,max,Min Best Case,True,13,13
2,96372106,2,10637297,0,60,0.0004673004150390625,0.0004973411560058594,11,11,0,11,11,11,0,11,1.0,max,Min Best Case,True,11,11
3,96372106,2,10637298,0,60,0.0009398460388183594,0.0005311965942382812,18,18,0,18,18,18,0,18,1.0,max,Min Best Case,True,18,18
4,96372106,2,10637299,0,60,0.0011339187622070312,0.0005495548248291016,14,14,0,14,14,14,0,14,1.0,max,Min Best Case,True,14,14
5,96372106,2,10637300,0,60,0.0006103515625,0.0009121894836425781,14,14,0,14,14,14,0,14,1.0,max,Min Best Case,True,14,14
6,96372106,2,10637301,0,60,0.0004551410675048828,0.0004668235778808594,11,11,0,11,11,11,0,11,1.0,max,Min Best Case,True,11,11
7,96372106,2,10637302,0,60,0.0006606578826904297,0.000591278076171875,17,17,0,17,17,17,0,17,1.0,max,Min Best Case,True,17,17
8,96372106,2,10637303,0,60,0.0004439353942871094,0.00046253204345703125,13,13,0,13,13,13,0,13,1.0,max,Min Best Case,True,13,13
9,96372106,2,10637304,0,60,0.0012390613555908203,0.0007941722869873047,14,14,0,14,14,14,0,14,1.0,max,Min Best Case,True,14,14
10,96372106,2,10637305,0,60,0.0005526542663574219,0.0007710456848144531,15,15,0,15,15,15,0,15,1.0,max,Min Best Case,True,15,15
11,96372106,2,10637306,0,60,0.0002701282501220703,0.0003578662872314453,6,6,0,6,6,6,0,6,1.0,max,Min Best Case,True,6,6
12,96372106,2,10637307,0,60,0.0004627704620361328,0.0004887580871582031,13,13,0,13,13,13,0,13,1.0,max,Min Best Case,True,13,13
13,96372106,2,10637308,0,60,0.00044417381286621094,0.0005567073822021484,11,11,0,11,11,11,0,11,1.0,max,Min Best Case,True,11,11
14,96372106,2,10637309,0,60,0.000553131103515625,0.0005319118499755859,17,17,0,17,17,17,0,17,1.0,max,Min Best Case,True,17,17
15,96372106,2,10637310,0,60,0.0005965232849121094,0.0005347728729248047,13,13,0,13,13,13,0,13,1.0,max,Min Best Case,True,13,13
16,96372106,2,10637311,0,60,0.00028586387634277344,0.0003414154052734375,7,7,0,7,7,7,0,7,1.0,max,Min Best Case,True,7,7
17,96372106,2,10637312,0,60,0.00038695335388183594,0.0004658699035644531,10,10,0,10,10,10,0,10,1.0,max,Min Best Case,True,10,10
18,96372106,2,10637313,0,60,0.0004849433898925781,0.0005004405975341797,14,14,0,14,14,14,0,14,1.0,max,Min Best Case,True,14,14
19,96372106,2,10637314,0,60,0.006936073303222656,0.0005681514739990234,14,14,0,14,14,14,0,14,1.0,max,Min Best Case,True,13,13
20,96372106,2,10637315,0,60,0.0005383491516113281,0.0004017353057861328,10,10,0,10,10,10,0,10,1.0,max,Min Best Case,True,10,10
21,96372106,2,10637316,0,60,0.0005011558532714844,0.0005400180816650391,14,14,0,14,14,14,0,14,1.0,max,Min Best Case,True,14,14
22,96372106,2,10637317,0,60,0.00038051605224609375,0.0005183219909667969,10,10,0,10,10,10,0,10,1.0,max,Min Best Case,True,10,10
23,96372106,2,10637318,0,60,0.0004229545593261719,0.00048661231994628906,10,10,0,10,10,10,0,10,1.0,max,Min Best Case,True,10,10
24,96372106,2,10637319,0,60,0.0004467964172363281,0.0005393028259277344,14,14,0,14,14,14,0,14,1.0,max,Min Best Case,True,14,14
25,96372106,2,10637320,0,60,0.0002713203430175781,0.00042891502380371094,6,6,0,6,6,6,0,6,1.0,max,Min Best Case,True,6,6
26,96372106,2,10637321,0,60,0.0003669261932373047,0.00035858154296875,9,9,0,9,9,9,0,9,1.0,max,Min Best Case,True,9,9
27,96372106,2,10637322,0,60,0.0002868175506591797,0.00037360191345214844,7,7,0,7,7,7,0,7,1.0,max,Min Best Case,True,7,7
28,96372106,2,10637323,0,60,0.0005638599395751953,0.0008330345153808594,17,17,0,17,17,17,0,17,1.0,max,Min Best Case,True,17,17
29,96372106,2,10637324,0,60,0.0002219676971435547,0.00029087066650390625,4,4,0,4,4,4,0,4,1.0,max,Min Best Case,True,4,4
30,96372106,2,10637325,0,60,0.0004405975341796875,0.0005249977111816406,10,10,0,10,10,10,0,10,1.0,max,Min Best Case,True,10,10
31,96372106,2,10637326,0,60,0.00045800209045410156,0.0005609989166259766,11,11,0,11,11,11,0,11,1.0,max,Min Best Case,True,11,11
