Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,4,10637296,1,60,0.08897137641906738,0.8208029270172119,153,200,47,200,194,195,1,195,0.75,max,True
2,96372106,4,10637297,1,60,0.007982254028320312,0.21941113471984863,191,236,45,236,236,236,0,236,0.75,max,True
3,96372106,4,10637298,1,60,0.0249330997467041,0.23337554931640625,131,171,40,171,164,165,1,165,0.75,max,True
4,96372106,4,10637299,1,60,0.028952598571777344,0.20644545555114746,111,143,32,143,141,141,0,141,0.75,max,True
5,96372106,4,10637300,1,60,0.004985809326171875,0.2613260746002197,158,197,39,197,197,197,0,197,0.75,max,True
6,96372106,4,10637301,1,60,0.006036996841430664,0.20644879341125488,135,169,34,169,168,169,1,169,0.75,max,True
7,96372106,4,10637302,1,60,0.010000228881835938,0.31615400314331055,141,187,46,187,186,187,1,187,0.75,max,True
8,96372106,4,10637303,1,60,0.0050351619720458984,0.09474778175354004,106,130,24,130,129,130,1,130,0.75,max,True
9,96372106,4,10637304,1,60,0.0039904117584228516,0.04587578773498535,88,107,19,107,107,107,0,107,0.75,max,True
10,96372106,4,10637305,1,60,0.005997657775878906,0.25032925605773926,172,218,46,218,218,218,0,218,0.75,max,True
