Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,8,10637296,0,60,0.010306119918823242,0.0020322799682617188,44,44,0,44,44,44,0,44,0.0,uniform,Min Worst Case,True
2,96372106,8,10637297,0,60,0.01407766342163086,0.002131223678588867,47,47,0,47,47,47,0,47,0.0,uniform,Min Worst Case,True
3,96372106,8,10637298,0,60,0.003735065460205078,0.0017971992492675781,44,44,0,44,44,44,0,44,0.0,uniform,Min Worst Case,True
4,96372106,8,10637299,0,60,0.0026879310607910156,0.001857757568359375,52,52,0,52,52,52,0,52,0.0,uniform,Min Worst Case,True
5,96372106,8,10637300,0,60,0.004332065582275391,0.0018892288208007812,55,55,0,55,55,55,0,55,0.0,uniform,Min Worst Case,True
6,96372106,8,10637301,0,60,0.005479335784912109,0.0021741390228271484,40,40,0,40,40,40,0,40,0.0,uniform,Min Worst Case,True
7,96372106,8,10637302,0,60,0.0042645931243896484,0.0022819042205810547,56,56,0,56,56,56,0,56,0.0,uniform,Min Worst Case,True
8,96372106,8,10637303,0,60,0.008327007293701172,0.002184152603149414,42,42,0,42,42,42,0,42,0.0,uniform,Min Worst Case,True
9,96372106,8,10637304,0,60,0.0022497177124023438,0.0016036033630371094,33,33,0,33,33,33,0,33,0.0,uniform,Min Worst Case,True
10,96372106,8,10637305,0,60,0.018568754196166992,0.0016252994537353516,41,41,0,41,41,41,0,41,0.0,uniform,Min Worst Case,True
11,96372106,8,10637306,0,60,0.005792379379272461,0.002241373062133789,48,48,0,48,48,48,0,48,0.0,uniform,Min Worst Case,True
12,96372106,8,10637307,0,60,0.005703449249267578,0.0019965171813964844,46,46,0,46,46,46,0,46,0.0,uniform,Min Worst Case,True
13,96372106,8,10637308,0,60,0.008089780807495117,0.0018210411071777344,54,54,0,54,54,54,0,54,0.0,uniform,Min Worst Case,True
14,96372106,8,10637309,0,60,0.001992464065551758,0.00177764892578125,42,42,0,42,42,42,0,42,0.0,uniform,Min Worst Case,True
15,96372106,8,10637310,0,60,0.004718303680419922,0.0021038055419921875,51,51,0,51,51,51,0,51,0.0,uniform,Min Worst Case,True
16,96372106,8,10637311,0,60,0.0053253173828125,0.002109050750732422,47,47,0,47,47,47,0,47,0.0,uniform,Min Worst Case,True
17,96372106,8,10637312,0,60,0.010509252548217773,0.0016391277313232422,38,38,0,38,38,38,0,38,0.0,uniform,Min Worst Case,True
18,96372106,8,10637313,0,60,0.012773990631103516,0.00197601318359375,49,49,0,49,49,49,0,49,0.0,uniform,Min Worst Case,True
19,96372106,8,10637314,0,60,0.020342350006103516,0.001882791519165039,50,50,0,50,50,50,0,50,0.0,uniform,Min Worst Case,True
20,96372106,8,10637315,0,60,0.02253246307373047,0.0023834705352783203,62,62,0,62,62,62,0,62,0.0,uniform,Min Worst Case,True
21,96372106,8,10637316,0,60,0.014846324920654297,0.0018558502197265625,52,52,0,52,52,52,0,52,0.0,uniform,Min Worst Case,True
22,96372106,8,10637317,0,60,0.004982471466064453,0.0019457340240478516,49,49,0,49,49,49,0,49,0.0,uniform,Min Worst Case,True
23,96372106,8,10637318,0,60,0.001840353012084961,0.0015978813171386719,36,36,0,36,36,36,0,36,0.0,uniform,Min Worst Case,True
24,96372106,8,10637319,0,60,0.4500117301940918,0.0020630359649658203,52,52,0,52,52,52,0,52,0.0,uniform,Min Worst Case,True
25,96372106,8,10637320,0,60,0.0017993450164794922,0.0012674331665039062,32,32,0,32,32,32,0,32,0.0,uniform,Min Worst Case,True
26,96372106,8,10637321,0,60,0.007166624069213867,0.0016341209411621094,41,41,0,41,41,41,0,41,0.0,uniform,Min Worst Case,True
27,96372106,8,10637322,0,60,0.03561544418334961,0.0020699501037597656,50,50,0,50,50,50,0,50,0.0,uniform,Min Worst Case,True
28,96372106,8,10637323,0,60,0.00950002670288086,0.0025959014892578125,53,53,0,53,53,53,0,53,0.0,uniform,Min Worst Case,True
29,96372106,8,10637324,0,60,0.007114887237548828,0.0018384456634521484,34,34,0,34,34,34,0,34,0.0,uniform,Min Worst Case,True
30,96372106,8,10637325,0,60,0.006255388259887695,0.0016436576843261719,40,40,0,40,40,40,0,40,0.0,uniform,Min Worst Case,True
31,96372106,8,10637326,0,60,0.026394128799438477,0.0021049976348876953,54,54,0,54,54,54,0,54,0.0,uniform,Min Worst Case,True
32,96372106,8,10637327,0,60,0.0021729469299316406,0.0014598369598388672,39,39,0,39,39,39,0,39,0.0,uniform,Min Worst Case,True
33,96372106,8,10637328,0,60,0.11277341842651367,0.0018148422241210938,48,48,0,48,48,48,0,48,0.0,uniform,Min Worst Case,True
34,96372106,8,10637329,0,60,0.005159139633178711,0.0019078254699707031,45,45,0,45,45,45,0,45,0.0,uniform,Min Worst Case,True
35,96372106,8,10637330,0,60,0.004312038421630859,0.0019702911376953125,50,50,0,50,50,50,0,50,0.0,uniform,Min Worst Case,True
36,96372106,8,10637331,0,60,0.0049479007720947266,0.0014510154724121094,34,34,0,34,34,34,0,34,0.0,uniform,Min Worst Case,True
37,96372106,8,10637332,0,60,0.0018198490142822266,0.0014348030090332031,33,33,0,33,33,33,0,33,0.0,uniform,Min Worst Case,True
38,96372106,8,10637333,0,60,0.002192974090576172,0.0020971298217773438,42,42,0,42,42,42,0,42,0.0,uniform,Min Worst Case,True
39,96372106,8,10637334,0,60,0.0020589828491210938,0.0014510154724121094,44,44,0,44,44,44,0,44,0.0,uniform,Min Worst Case,True
40,96372106,8,10637335,0,60,0.001953601837158203,0.002228975296020508,35,35,0,35,35,35,0,35,0.0,uniform,Min Worst Case,True
41,96372106,8,10637336,0,60,0.004784107208251953,0.0022411346435546875,59,59,0,59,59,59,0,59,0.0,uniform,Min Worst Case,True
42,96372106,8,10637337,0,60,0.006426811218261719,0.0016796588897705078,36,36,0,36,36,36,0,36,0.0,uniform,Min Worst Case,True
43,96372106,8,10637338,0,60,0.003077268600463867,0.0019428730010986328,48,48,0,48,48,48,0,48,0.0,uniform,Min Worst Case,True
44,96372106,8,10637339,0,60,0.006880283355712891,0.002268075942993164,56,56,0,56,56,56,0,56,0.0,uniform,Min Worst Case,True
45,96372106,8,10637340,0,60,0.014531373977661133,0.001875162124633789,41,41,0,41,41,41,0,41,0.0,uniform,Min Worst Case,True
46,96372106,8,10637341,0,60,0.002608060836791992,0.0017538070678710938,44,44,0,44,44,44,0,44,0.0,uniform,Min Worst Case,True
47,96372106,8,10637342,0,60,0.0035016536712646484,0.001600027084350586,44,44,0,44,44,44,0,44,0.0,uniform,Min Worst Case,True
48,96372106,8,10637343,0,60,0.002375364303588867,0.0016222000122070312,38,38,0,38,38,38,0,38,0.0,uniform,Min Worst Case,True
49,96372106,8,10637344,0,60,0.13207721710205078,0.001688241958618164,43,43,0,43,43,43,0,43,0.0,uniform,Min Worst Case,True
50,96372106,8,10637345,0,60,0.006313800811767578,0.0020864009857177734,53,53,0,53,53,53,0,53,0.0,uniform,Min Worst Case,True
