Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,7,10637296,0,60,0.1415867805480957,0.09275317192077637,977,977,0,977,977,977,0,977,0.25,min,True
2,96372106,7,10637297,0,60,0.3361227512359619,0.08376359939575195,1074,1074,0,1074,1074,1074,0,1074,0.25,min,True
3,96372106,7,10637298,0,60,0.43184447288513184,0.09477353096008301,1416,1416,0,1416,1416,1416,0,1416,0.25,min,True
4,96372106,7,10637299,0,60,0.10669279098510742,0.05684852600097656,1005,1005,0,1005,1005,1005,0,1005,0.25,min,True
5,96372106,7,10637300,0,60,0.12070870399475098,0.04588961601257324,755,755,0,755,755,755,0,755,0.25,min,True
6,96372106,7,10637301,0,60,0.24137568473815918,0.08477282524108887,980,980,0,980,980,980,0,980,0.25,min,True
7,96372106,7,10637302,0,60,0.14157366752624512,0.07180905342102051,814,814,0,814,814,814,0,814,0.25,min,True
8,96372106,7,10637303,0,60,0.25232529640197754,0.06585836410522461,1367,1367,0,1367,1367,1367,0,1367,0.25,min,True
9,96372106,7,10637304,0,60,0.1685502529144287,0.09075736999511719,982,982,0,982,982,982,0,982,0.25,min,True
10,96372106,7,10637305,0,60,0.24733877182006836,0.059814453125,648,648,0,648,648,648,0,648,0.25,min,True
11,96372106,7,10637306,0,60,0.2633538246154785,0.08178186416625977,822,822,0,822,822,822,0,822,0.25,min,True
12,96372106,7,10637307,0,60,0.13765811920166016,0.05385398864746094,720,720,0,720,720,720,0,720,0.25,min,True
13,96372106,7,10637308,0,60,0.1765270233154297,0.07183623313903809,1130,1130,0,1130,1130,1130,0,1130,0.25,min,True
14,96372106,7,10637309,0,60,0.07878923416137695,0.0518956184387207,672,672,0,672,672,672,0,672,0.25,min,True
15,96372106,7,10637310,0,60,0.20545196533203125,0.09275150299072266,1149,1149,0,1149,1149,1149,0,1149,0.25,min,True
16,96372106,7,10637311,0,60,0.09976387023925781,0.07280540466308594,1023,1023,0,1023,1023,1023,0,1023,0.25,min,True
17,96372106,7,10637312,0,60,0.20148539543151855,0.08676910400390625,1035,1035,0,1035,1035,1035,0,1035,0.25,min,True
18,96372106,7,10637313,0,60,0.049866437911987305,0.04282808303833008,778,778,0,778,778,778,0,778,0.25,min,True
19,96372106,7,10637314,0,60,0.1895284652709961,0.08076643943786621,1012,1012,0,1012,1012,1012,0,1012,0.25,min,True
20,96372106,7,10637315,0,60,0.21842694282531738,0.14162063598632812,1533,1533,0,1533,1533,1533,0,1533,0.25,min,True
21,96372106,7,10637316,0,60,0.1666116714477539,0.05383181571960449,952,952,0,952,952,952,0,952,0.25,min,True
22,96372106,7,10637317,0,60,1.0362286567687988,0.12067794799804688,1297,1297,0,1297,1297,1297,0,1297,0.25,min,True
23,96372106,7,10637318,0,60,0.2353677749633789,0.1625657081604004,1102,1102,0,1102,1102,1102,0,1102,0.25,min,True
24,96372106,7,10637319,0,60,0.13364219665527344,0.0777597427368164,1069,1069,0,1069,1069,1069,0,1069,0.25,min,True
25,96372106,7,10637320,0,60,0.4357786178588867,0.09076929092407227,1130,1130,0,1130,1130,1130,0,1130,0.25,min,True
26,96372106,7,10637321,0,60,0.10675168037414551,0.05884265899658203,964,964,0,964,964,964,0,964,0.25,min,True
27,96372106,7,10637322,0,60,0.2852296829223633,0.0449063777923584,718,718,0,718,718,718,0,718,0.25,min,True
28,96372106,7,10637323,0,60,0.2044849395751953,0.07978510856628418,1101,1101,0,1101,1101,1101,0,1101,0.25,min,True
29,96372106,7,10637324,0,60,38.60272288322449,0.08077883720397949,1185,1185,0,1185,1185,1185,0,1185,0.25,min,True
30,96372106,7,10637325,0,60,0.20944690704345703,0.0827786922454834,1093,1093,0,1093,1093,1093,0,1093,0.25,min,True
31,96372106,7,10637326,0,60,18.659136533737183,0.09474658966064453,1244,1244,0,1244,1244,1244,0,1244,0.25,min,True
32,96372106,7,10637327,0,60,11.03062105178833,0.10769248008728027,1406,1406,0,1406,1406,1406,0,1406,0.25,min,True
33,96372106,7,10637328,0,60,0.11671304702758789,0.04990720748901367,1024,1024,0,1024,1024,1024,0,1024,0.25,min,True
34,96372106,7,10637329,0,60,0.39896512031555176,0.18251252174377441,1115,1115,0,1115,1115,1115,0,1115,0.25,min,True
35,96372106,7,10637330,0,60,0.5136730670928955,0.08876252174377441,1663,1663,0,1663,1663,1663,0,1663,0.25,min,True
36,96372106,7,10637331,0,60,0.40597033500671387,0.07779169082641602,1454,1454,0,1454,1454,1454,0,1454,0.25,min,True
37,96372106,7,10637332,0,60,0.05286073684692383,0.0438840389251709,881,881,0,881,881,881,0,881,0.25,min,True
38,96372106,7,10637333,0,60,0.13162541389465332,0.08371233940124512,1061,1061,0,1061,1061,1061,0,1061,0.25,min,True
39,96372106,7,10637334,0,60,0.14060378074645996,0.06288671493530273,863,863,0,863,863,863,0,863,0.25,min,True
40,96372106,7,10637335,0,60,0.134657621383667,0.061779022216796875,941,941,0,941,941,941,0,941,0.25,min,True
41,96372106,7,10637336,0,60,0.19048786163330078,0.04885101318359375,780,780,0,780,780,780,0,780,0.25,min,True
42,96372106,7,10637337,0,60,0.11668801307678223,0.07281661033630371,943,943,0,943,943,943,0,943,0.25,min,True
43,96372106,7,10637338,0,60,0.20245909690856934,0.09075546264648438,946,946,0,946,946,946,0,946,0.25,min,True
44,96372106,7,10637339,0,60,0.11170101165771484,0.04189419746398926,696,696,0,696,696,696,0,696,0.25,min,True
45,96372106,7,10637340,0,60,0.47172045707702637,0.059844970703125,1049,1049,0,1049,1049,1049,0,1049,0.25,min,True
46,96372106,7,10637341,0,60,0.22545218467712402,0.06885027885437012,1013,1013,0,1013,1013,1013,0,1013,0.25,min,True
47,96372106,7,10637342,0,60,0.7529897689819336,0.0907132625579834,1185,1185,0,1185,1185,1185,0,1185,0.25,min,True
48,96372106,7,10637343,0,60,0.12871050834655762,0.08776593208312988,893,893,0,893,893,893,0,893,0.25,min,True
49,96372106,7,10637344,0,60,0.09474945068359375,0.08477425575256348,918,918,0,918,918,918,0,918,0.25,min,True
50,96372106,7,10637345,0,60,0.5744931697845459,0.08078575134277344,895,895,0,895,895,895,0,895,0.25,min,True
