Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,7,10637296,0,60,0.09979104995727539,0.06402039527893066,977,977,0,977,977,977,0,977,0.5,uniform,Min Best Case,True,977,977
2,96372106,7,10637297,0,60,0.16890311241149902,0.08426475524902344,1072,1072,0,1072,1072,1072,0,1072,0.5,uniform,Min Best Case,True,1072,1072
3,96372106,7,10637298,0,60,0.2817413806915283,0.05213594436645508,1416,1416,0,1416,1416,1416,0,1416,0.5,uniform,Min Best Case,True,1416,1416
4,96372106,7,10637299,0,60,0.07053589820861816,0.03273606300354004,1005,1005,0,1005,1005,1005,0,1005,0.5,uniform,Min Best Case,True,1005,1005
5,96372106,7,10637300,0,60,0.04146885871887207,0.026348352432250977,755,755,0,755,755,755,0,755,0.5,uniform,Min Best Case,True,755,755
6,96372106,7,10637301,0,60,0.16713356971740723,0.05045270919799805,980,980,0,980,980,980,0,980,0.5,uniform,Min Best Case,True,980,980
7,96372106,7,10637302,0,60,0.08742499351501465,0.044219017028808594,814,814,0,814,814,814,0,814,0.5,uniform,Min Best Case,True,814,814
8,96372106,7,10637303,0,60,0.17069196701049805,0.04045677185058594,1367,1367,0,1367,1367,1367,0,1367,0.5,uniform,Min Best Case,True,1367,1367
9,96372106,7,10637304,0,60,0.10552120208740234,0.04069113731384277,982,982,0,982,982,982,0,982,0.5,uniform,Min Best Case,True,982,982
10,96372106,7,10637305,0,60,0.07904911041259766,0.03677725791931152,648,648,0,648,648,648,0,648,0.5,uniform,Min Best Case,True,648,648
11,96372106,7,10637306,0,60,0.17793917655944824,0.05330777168273926,822,822,0,822,822,822,0,822,0.5,uniform,Min Best Case,True,822,822
12,96372106,7,10637307,0,60,0.06195712089538574,0.022836923599243164,720,720,0,720,720,720,0,720,0.5,uniform,Min Best Case,True,720,720
13,96372106,7,10637308,0,60,0.10475730895996094,0.04430723190307617,1130,1130,0,1130,1130,1130,0,1130,0.5,uniform,Min Best Case,True,1130,1130
14,96372106,7,10637309,0,60,0.050969600677490234,0.032232046127319336,672,672,0,672,672,672,0,672,0.5,uniform,Min Best Case,True,672,672
15,96372106,7,10637310,0,60,0.1548454761505127,0.05570363998413086,1149,1149,0,1149,1149,1149,0,1149,0.5,uniform,Min Best Case,True,1149,1149
16,96372106,7,10637311,0,60,0.057747840881347656,0.037511348724365234,1023,1023,0,1023,1023,1023,0,1023,0.5,uniform,Min Best Case,True,1023,1023
17,96372106,7,10637312,0,60,0.14476776123046875,0.05048322677612305,1035,1035,0,1035,1035,1035,0,1035,0.5,uniform,Min Best Case,True,1035,1035
18,96372106,7,10637313,0,60,0.045842647552490234,0.027594327926635742,778,778,0,778,778,778,0,778,0.5,uniform,Min Best Case,True,778,778
19,96372106,7,10637314,0,60,0.11997437477111816,0.04544401168823242,1012,1012,0,1012,1012,1012,0,1012,0.5,uniform,Min Best Case,True,1012,1012
20,96372106,7,10637315,0,60,0.14937853813171387,0.060914039611816406,1533,1533,0,1533,1533,1533,0,1533,0.5,uniform,Min Best Case,True,1533,1533
21,96372106,7,10637316,0,60,0.11567378044128418,0.0339818000793457,952,952,0,952,952,952,0,952,0.5,uniform,Min Best Case,True,952,952
22,96372106,7,10637317,0,60,0.9692225456237793,0.05289173126220703,1295,1295,0,1295,1295,1295,0,1295,0.5,uniform,Min Best Case,True,1293,1293
23,96372106,7,10637318,0,60,0.16170763969421387,0.05327558517456055,1102,1102,0,1102,1102,1102,0,1102,0.5,uniform,Min Best Case,True,1102,1102
24,96372106,7,10637319,0,60,0.09884142875671387,0.043450355529785156,1069,1069,0,1069,1069,1069,0,1069,0.5,uniform,Min Best Case,True,1069,1069
25,96372106,7,10637320,0,60,0.35907626152038574,0.05071687698364258,1128,1128,0,1128,1128,1128,0,1128,0.5,uniform,Min Best Case,True,1126,1126
26,96372106,7,10637321,0,60,0.08564329147338867,0.032469749450683594,964,964,0,964,964,964,0,964,0.5,uniform,Min Best Case,True,964,964
27,96372106,7,10637322,0,60,0.23568511009216309,0.027451038360595703,716,716,0,716,716,716,0,716,0.5,uniform,Min Best Case,True,714,714
28,96372106,7,10637323,0,60,0.14163661003112793,0.048099517822265625,1101,1101,0,1101,1101,1101,0,1101,0.5,uniform,Min Best Case,True,1101,1101
29,96372106,7,10637324,0,60,48.79379677772522,0.05210590362548828,1006,1006,0,1006,1006,1006,0,1006,0.5,uniform,Min Best Case,True,1004,1004
30,96372106,7,10637325,0,60,0.12769079208374023,0.05124950408935547,1093,1093,0,1093,1093,1093,0,1093,0.5,uniform,Min Best Case,True,1093,1093
31,96372106,7,10637326,0,60,21.934099197387695,0.04195809364318848,1179,1179,0,1179,1179,1179,0,1179,0.5,uniform,Min Best Case,True,1177,1177
32,96372106,7,10637327,0,60,2.7232704162597656,0.05223679542541504,1370,1370,0,1370,1370,1370,0,1370,0.5,uniform,Min Best Case,True,1370,1370
33,96372106,7,10637328,0,60,0.08228158950805664,0.03197669982910156,1024,1024,0,1024,1024,1024,0,1024,0.5,uniform,Min Best Case,True,1024,1024
34,96372106,7,10637329,0,60,0.2600564956665039,0.052895545959472656,1115,1115,0,1115,1115,1115,0,1115,0.5,uniform,Min Best Case,True,1115,1115
35,96372106,7,10637330,0,60,0.330336332321167,0.05291008949279785,1663,1663,0,1663,1663,1663,0,1663,0.5,uniform,Min Best Case,True,1663,1663
36,96372106,7,10637331,0,60,0.27947235107421875,0.05220174789428711,1454,1454,0,1454,1454,1454,0,1454,0.5,uniform,Min Best Case,True,1454,1454
37,96372106,7,10637332,0,60,0.03373432159423828,0.02962040901184082,881,881,0,881,881,881,0,881,0.5,uniform,Min Best Case,True,881,881
38,96372106,7,10637333,0,60,0.09397554397583008,0.049126625061035156,1061,1061,0,1061,1061,1061,0,1061,0.5,uniform,Min Best Case,True,1061,1061
39,96372106,7,10637334,0,60,0.10889768600463867,0.03756284713745117,863,863,0,863,863,863,0,863,0.5,uniform,Min Best Case,True,863,863
40,96372106,7,10637335,0,60,0.06913614273071289,0.03627967834472656,941,941,0,941,941,941,0,941,0.5,uniform,Min Best Case,True,941,941
41,96372106,7,10637336,0,60,0.05942249298095703,0.029625415802001953,780,780,0,780,780,780,0,780,0.5,uniform,Min Best Case,True,780,780
42,96372106,7,10637337,0,60,0.08183574676513672,0.03715252876281738,943,943,0,943,943,943,0,943,0.5,uniform,Min Best Case,True,943,943
43,96372106,7,10637338,0,60,0.14157843589782715,0.041101932525634766,946,946,0,946,946,946,0,946,0.5,uniform,Min Best Case,True,946,946
44,96372106,7,10637339,0,60,0.040548086166381836,0.026597261428833008,696,696,0,696,696,696,0,696,0.5,uniform,Min Best Case,True,696,696
45,96372106,7,10637340,0,60,1.5654675960540771,0.030595779418945312,1048,1048,0,1048,1048,1048,0,1048,0.5,uniform,Min Best Case,True,1046,1046
46,96372106,7,10637341,0,60,0.1539151668548584,0.039732933044433594,1013,1013,0,1013,1013,1013,0,1013,0.5,uniform,Min Best Case,True,1013,1013
47,96372106,7,10637342,0,60,0.6738338470458984,0.05255770683288574,1184,1184,0,1184,1184,1184,0,1184,0.5,uniform,Min Best Case,True,1183,1183
48,96372106,7,10637343,0,60,0.08945798873901367,0.05287337303161621,893,893,0,893,893,893,0,893,0.5,uniform,Min Best Case,True,893,893
49,96372106,7,10637344,0,60,0.06481003761291504,0.04437875747680664,918,918,0,918,918,918,0,918,0.5,uniform,Min Best Case,True,918,918
50,96372106,7,10637345,0,60,1.0192716121673584,0.03984212875366211,893,893,0,893,893,893,0,893,0.5,uniform,Min Best Case,True,891,891
