Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,7,10637296,0,60,0.1415867805480957,0.07280492782592773,977,977,0,977,977,977,0,977,1.0,max,False
2,96372106,7,10637297,0,60,0.3361227512359619,0.08776569366455078,1074,1074,0,1074,1074,1074,0,1074,1.0,max,False
3,96372106,7,10637298,0,60,0.43184447288513184,0.08181262016296387,1416,1416,0,1416,1416,1416,0,1416,1.0,max,False
4,96372106,7,10637299,0,60,0.10669279098510742,0.10272479057312012,1005,1005,0,1005,1005,1005,0,1005,1.0,max,False
5,96372106,7,10637300,0,60,0.12070870399475098,0.03887796401977539,755,755,0,755,755,755,0,755,1.0,max,False
6,96372106,7,10637301,0,60,0.24137568473815918,0.09674191474914551,980,980,0,980,980,980,0,980,1.0,max,False
7,96372106,7,10637302,0,60,0.14157366752624512,0.08171653747558594,814,814,0,814,814,814,0,814,1.0,max,False
8,96372106,7,10637303,0,60,0.25232529640197754,0.06881475448608398,1367,1367,0,1367,1367,1367,0,1367,1.0,max,False
9,96372106,7,10637304,0,60,0.1685502529144287,0.06781935691833496,982,982,0,982,982,982,0,982,1.0,max,False
10,96372106,7,10637305,0,60,0.24733877182006836,0.05684375762939453,648,648,0,648,648,648,0,648,1.0,max,False
11,96372106,7,10637306,0,60,0.2633538246154785,0.08876156806945801,822,822,0,822,822,822,0,822,1.0,max,False
12,96372106,7,10637307,0,60,0.13765811920166016,0.056845903396606445,720,720,0,720,720,720,0,720,1.0,max,False
13,96372106,7,10637308,0,60,0.1765270233154297,0.07081031799316406,1130,1130,0,1130,1130,1130,0,1130,1.0,max,False
14,96372106,7,10637309,0,60,0.07878923416137695,0.053849220275878906,672,672,0,672,672,672,0,672,1.0,max,False
15,96372106,7,10637310,0,60,0.20545196533203125,0.08477163314819336,1149,1149,0,1149,1149,1149,0,1149,1.0,max,False
16,96372106,7,10637311,0,60,0.09976387023925781,0.05781221389770508,1023,1023,0,1023,1023,1023,0,1023,1.0,max,False
17,96372106,7,10637312,0,60,0.20148539543151855,0.07978630065917969,1035,1035,0,1035,1035,1035,0,1035,1.0,max,False
18,96372106,7,10637313,0,60,0.049866437911987305,0.04291105270385742,778,778,0,778,778,778,0,778,1.0,max,False
19,96372106,7,10637314,0,60,0.1895284652709961,0.07178783416748047,1012,1012,0,1012,1012,1012,0,1012,1.0,max,False
20,96372106,7,10637315,0,60,0.21842694282531738,0.07978653907775879,1533,1533,0,1533,1533,1533,0,1533,1.0,max,False
21,96372106,7,10637316,0,60,0.1666116714477539,0.05086469650268555,952,952,0,952,952,952,0,952,1.0,max,False
22,96372106,7,10637317,0,60,1.0362286567687988,0.07984042167663574,1297,1297,0,1297,1297,1297,0,1297,1.0,max,False
23,96372106,7,10637318,0,60,0.2353677749633789,0.10072970390319824,1102,1102,0,1102,1102,1102,0,1102,1.0,max,False
24,96372106,7,10637319,0,60,0.13364219665527344,0.09577250480651855,1069,1069,0,1069,1069,1069,0,1069,1.0,max,False
25,96372106,7,10637320,0,60,0.4357786178588867,0.13064932823181152,1130,1130,0,1130,1130,1130,0,1130,1.0,max,False
26,96372106,7,10637321,0,60,0.10675168037414551,0.04882001876831055,964,964,0,964,964,964,0,964,1.0,max,False
27,96372106,7,10637322,0,60,0.2852296829223633,0.07679271697998047,718,718,0,718,718,718,0,718,1.0,max,False
28,96372106,7,10637323,0,60,0.2044849395751953,0.0777902603149414,1101,1101,0,1101,1101,1101,0,1101,1.0,max,False
29,96372106,7,10637324,0,60,38.60272288322449,0.0827796459197998,1185,1185,0,1185,1185,1185,0,1185,1.0,max,False
30,96372106,7,10637325,0,60,0.20944690704345703,0.08077836036682129,1093,1093,0,1093,1093,1093,0,1093,1.0,max,False
31,96372106,7,10637326,0,60,18.659136533737183,0.06582331657409668,1244,1244,0,1244,1244,1244,0,1244,1.0,max,False
32,96372106,7,10637327,0,60,11.03062105178833,0.09371805191040039,1406,1406,0,1406,1406,1406,0,1406,1.0,max,False
33,96372106,7,10637328,0,60,0.11671304702758789,0.05186152458190918,1024,1024,0,1024,1024,1024,0,1024,1.0,max,False
34,96372106,7,10637329,0,60,0.39896512031555176,0.0817568302154541,1115,1115,0,1115,1115,1115,0,1115,1.0,max,False
35,96372106,7,10637330,0,60,0.5136730670928955,0.09773492813110352,1663,1663,0,1663,1663,1663,0,1663,1.0,max,False
36,96372106,7,10637331,0,60,0.40597033500671387,0.1356360912322998,1454,1454,0,1454,1454,1454,0,1454,1.0,max,False
37,96372106,7,10637332,0,60,0.05286073684692383,0.05184626579284668,881,881,0,881,881,881,0,881,1.0,max,False
38,96372106,7,10637333,0,60,0.13162541389465332,0.09572625160217285,1061,1061,0,1061,1061,1061,0,1061,1.0,max,False
39,96372106,7,10637334,0,60,0.14060378074645996,0.06684756278991699,863,863,0,863,863,863,0,863,1.0,max,False
40,96372106,7,10637335,0,60,0.134657621383667,0.05687665939331055,941,941,0,941,941,941,0,941,1.0,max,False
41,96372106,7,10637336,0,60,0.19048786163330078,0.044831275939941406,780,780,0,780,780,780,0,780,1.0,max,False
42,96372106,7,10637337,0,60,0.11668801307678223,0.0598146915435791,943,943,0,943,943,943,0,943,1.0,max,False
43,96372106,7,10637338,0,60,0.20245909690856934,0.06186199188232422,946,946,0,946,946,946,0,946,1.0,max,False
44,96372106,7,10637339,0,60,0.11170101165771484,0.039908409118652344,696,696,0,696,696,696,0,696,1.0,max,False
45,96372106,7,10637340,0,60,0.47172045707702637,0.05183577537536621,1049,1049,0,1049,1049,1049,0,1049,1.0,max,False
46,96372106,7,10637341,0,60,0.22545218467712402,0.09773969650268555,1013,1013,0,1013,1013,1013,0,1013,1.0,max,False
47,96372106,7,10637342,0,60,0.7529897689819336,0.11169791221618652,1185,1185,0,1185,1185,1185,0,1185,1.0,max,False
48,96372106,7,10637343,0,60,0.12871050834655762,0.08371996879577637,893,893,0,893,893,893,0,893,1.0,max,False
