Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,3,10637296,0,60,0.00800466537475586,0.008939743041992188,221,221,0,221,221,221,0,221,0.25,max,True
2,96372106,3,10637297,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,max,True
3,96372106,3,10637298,0,60,5.092529296875,0.025931596755981445,505,505,0,505,505,505,0,505,0.25,max,True
4,96372106,3,10637299,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,max,True
5,96372106,3,10637300,0,60,13.6937997341156,0.026154756546020508,603,603,0,603,603,603,0,603,0.25,max,True
6,96372106,3,10637301,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,max,True
7,96372106,3,10637302,0,60,13.87916898727417,0.030883312225341797,423,423,0,423,423,423,0,423,0.25,max,True
8,96372106,3,10637303,0,60,27.05857253074646,0.030881881713867188,469,469,0,469,469,469,0,469,0.25,max,True
9,96372106,3,10637304,0,60,0.005070209503173828,0.005986452102661133,139,139,0,139,139,139,0,139,0.25,max,True
10,96372106,3,10637305,0,60,0.00498652458190918,0.0069692134857177734,148,148,0,148,148,148,0,148,0.25,max,True
