Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,3,10637296,1,60,0.011966705322265625,0.10571837425231934,123,160,37,148,145,148,3,148,0.25,uniform,False
2,96372106,3,10637297,1,60,0.005982875823974609,0.049866437911987305,140,168,28,153,153,156,3,153,0.25,uniform,False
3,96372106,3,10637298,1,60,0.007978439331054688,0.05884289741516113,109,143,34,129,128,129,1,129,0.25,uniform,False
4,96372106,3,10637299,1,60,0.011965751647949219,0.041886091232299805,98,127,29,114,112,114,2,112,0.25,uniform,False
5,96372106,3,10637300,1,60,0.006981372833251953,0.06584405899047852,143,178,35,158,158,158,0,158,0.25,uniform,False
6,96372106,3,10637301,1,60,0.0069811344146728516,0.0927731990814209,122,152,30,139,139,140,1,139,0.25,uniform,False
7,96372106,3,10637302,1,60,0.0029897689819335938,0.011968374252319336,69,95,26,85,83,87,4,85,0.25,uniform,False
8,96372106,3,10637303,1,60,0.003991127014160156,0.013962507247924805,63,76,13,70,70,70,0,70,0.25,uniform,False
9,96372106,3,10637304,1,60,0.003994464874267578,0.008976221084594727,74,91,17,78,77,83,6,78,0.25,uniform,False
10,96372106,3,10637305,1,60,0.004986286163330078,0.04388308525085449,119,153,34,134,131,135,4,134,0.25,uniform,False
