Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,9,10637296,1,60,0.39893245697021484,0.022939443588256836,385,496,111,385,385,496,111,385,0.0,min,True
2,96372106,9,10637297,1,60,51.83720636367798,0.020943403244018555,447,553,106,447,447,553,106,447,0.0,min,True
3,96372106,9,10637298,1,60,0.5737318992614746,0.016954660415649414,350,437,87,350,350,437,87,350,0.0,min,True
4,96372106,9,10637299,1,60,0.49764013290405273,0.03690052032470703,348,450,102,348,348,450,102,348,0.0,min,True
5,96372106,9,10637300,1,60,26.858755350112915,0.023934364318847656,467,557,90,467,467,557,90,467,0.0,min,True
6,96372106,9,10637301,1,60,76.22304773330688,0.02194070816040039,352,423,71,352,352,423,71,352,0.0,min,True
7,96372106,9,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,min,True
8,96372106,9,10637303,1,60,0.9650447368621826,0.01993417739868164,343,425,82,343,343,425,82,343,0.0,min,True
9,96372106,9,10637304,1,60,0.01994490623474121,0.016953468322753906,223,287,64,223,223,287,64,223,0.0,min,True
10,96372106,9,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,min,True
